ID,Name,Description,Lat,Lon
24,N Main @ Bohemian Cafe,N Main @ Bohemian Cafe,34.8619016,-82.3942142
25,N Main @ Thomas McAfee,N Main @ Thomas McAfee,34.8602415,-82.3950161
26,619 N Main,619 N Main,34.8595832,-82.3952439
27,Towers East Apts,Towers East Apts,34.8558375,-82.3968439
28,N Main @ NOMA Square,N Main @ NOMA Square,34.8531554,-82.3979107
29,N Main @ Mast General Store,N Main @ Mast General Store,34.8520171,-82.3984516
30,N Main @ Certus Bank,N Main @ Certus Bank,34.8512226,-82.3988049
31,S Main @ Wells Fargo Plaza,S Main @ Wells Fargo Plaza,34.8503157,-82.3992308
32,S Main @ Poinsett Plaza,S Main @ Poinsett Plaza,34.8491211,-82.3997923
33,S Main @ City Hall,S Main @ City Hall,34.8482581,-82.4002633
34,S Main @ Village Green,S Main @ Village Green,34.8477894,-82.4003879
35,S Main @ Peace Center,S Main @ Peace Center,34.8466131,-82.400934
36,S Main @ Falls Park,S Main @ Falls Park,34.8453763,-82.4019207
37,S Main @ Pomegranate,S Main @ Pomegranate,34.8447334,-82.402793
38,S Main @ Rick Erwin,S Main @ Rick Erwin,34.844639,-82.4036105
39,Fluor Field,Fluor Field,34.8416466,-82.407466
40,Greenville Drive Ticket Office,Greenville Drive Ticket Office,34.8428768,-82.4092208
41,S Main @ Compadres,S Main @ Compadres,34.8433129,-82.4082198
42,S Main @ American Grocery,S Main @ American Grocery,34.8442468,-82.4050237
43,River St @ West Court St,River St @ West Court St,34.8493456,-82.4019878
44,S Richardson St @ Transit Center,S Richardson St @ Transit Center,34.850448,-82.4010785
45,Richardson St @ W North St,Richardson St @ W North St,34.8528676,-82.3998933
46,Heritage Green,Heritage Green,34.8554933,-82.4010898
